MACH,ALPHA_DEG,BETA_DEG,DELTA_ELEVON_L,DELTA_ELEVON_R,DELTA_RUDDER,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
3.0,-6.0,0.0,0.0,0.0,0,0.0130918836108564,-0.0399875303503453,0.0,0.0,0.002,0.0,0,0
3.0,-4.0,0.0,0.0,0.0,0,0.0147723373109822,-0.0066466570823657,0.0,0.0,0.0002,0.0,0,0
3.0,-2.0,0.0,0.0,0.0,0,0.0169198493023274,0.0289271273994935,0.0,0.0,-0.0015,0.0,0,0
3.0,0.0,0.0,0.0,0.0,0,0.0193,0.0666,0.0,0.0,-0.0033,0.0,0,0
3.0,2.0,0.0,0.0,0.0,0,0.0220094272516174,0.106132771150365,0.0,0.0,-0.0051,0.0,0,0
3.0,4.0,0.0,0.0,0.0,0,0.0248788825290984,0.1473945087311712,0.0,0.0,-0.007,0.0,0,0
3.0,6.0,0.0,0.0,0.0,0,0.0278551366664392,0.1903544361481864,0.0,0.0,-0.0089,0.0,0,0
3.0,8.0,0.0,0.0,0.0,0,0.0311366380360987,0.2347176383909163,0.0,0.0,-0.0108,0.0,0,0
3.0,10.0,0.0,0.0,0.0,0,0.0345412283862717,0.2803572783816525,0.0,0.0,-0.0127,0.0,0,0
3.0,12.0,0.0,0.0,0.0,0,0.038284542004112,0.3273123643303677,0.0,0.0,-0.0146,0.0,0,0
3.0,14.0,0.0,0.0,0.0,0,0.0424386848261491,0.3754183773208588,0.0,0.0,-0.0163,0.0,0,0
3.0,16.0,0.0,0.0,0.0,0,0.047080890231911,0.4246265650839226,0.0,0.0,-0.0179,0.0,0,0
3.0,-6.0,2.0,0.0,0.0,0,0.0131704019935574,-0.0400963337928697,-0.0194,0.0029,0.002,0.0094,0,0
3.0,-4.0,2.0,0.0,0.0,0,0.0148627960732962,-0.0066529825752266,-0.0174,0.0015,0.0003,0.0088,0,0
3.0,-2.0,2.0,0.0,0.0,0,0.0170100475548023,0.0289239776071103,-0.016,0.0009,-0.0015,0.0082,0,0
3.0,0.0,2.0,0.0,0.0,0,0.0193881820441704,0.0666,-0.0148,0.0002,-0.0033,0.0076,0,0
3.0,2.0,2.0,0.0,0.0,0,0.0220936592455783,0.10613571259641,-0.0139,-0.0004,-0.0051,0.0074,0,0
3.0,4.0,2.0,0.0,0.0,0,0.0248505769955025,0.1474927736052546,-0.0131,-0.0012,-0.007,0.0074,0,0
