,ALPHA_DEG,BETA_DEG,MACH,CA,CN,CY,CLL,CM,CLN,XCP,ZCP
1084,-4,-2,5.0,0.0371697,-0.0274298,0.0316288,-0.00304688,0.0152352,-0.0471084,-2.415,0.233231
1085,-4,-1,5.0,0.0370156,-0.0272249,0.0158316,-0.00154077,0.0151779,-0.0235336,-2.41234,0.232794
1086,-4,0,5.0,0.036693,-0.0271467,0.00012628,-3.25526e-05,0.0151787,-0.000117662,-2.41143,0.232647
1087,-4,1,5.0,0.0370421,-0.0272216,-0.0155737,0.00147464,0.0151698,0.0232971,-2.41232,0.232797
1088,-4,2,5.0,0.0372233,-0.0274207,-0.031372,0.00297726,0.0152254,0.0468564,-2.41496,0.233237
1089,-4,3,5.0,0.037289,-0.0277303,-0.0473363,0.00448899,0.0153078,0.0706459,-2.41931,0.233957
1090,-4,4,5.0,0.0375211,-0.0281793,-0.0635534,0.00600379,0.015431,0.0948519,-2.42524,0.234958
1091,-4,5,5.0,0.0376164,-0.0287512,-0.0801084,0.00751679,0.0155818,0.119699,-2.43267,0.236186
1092,-3,-6,5.0,0.039781,0.000150467,0.0966086,-0.00885593,0.00858633,-0.144675,-2.43331,0.244637
1093,-3,-5,5.0,0.0395083,0.000849378,0.0797426,-0.00737417,0.00840961,-0.119347,-2.42437,0.243308
1094,-3,-4,5.0,0.0393217,0.0014214,0.0633016,-0.00589598,0.00828388,-0.0947254,-2.41674,0.242179
1095,-3,-3,5.0,0.039138,0.00187228,0.0472208,-0.0044202,0.00816772,-0.07063,-2.41058,0.241255
1096,-3,-2,5.0,0.0389114,0.00221577,0.0313849,-0.00296445,0.00807529,-0.0469098,-2.40605,0.240608
1097,-3,-1,5.0,0.0387711,0.0024174,0.0156986,-0.00149647,0.0080212,-0.0234089,-2.40336,0.240192
1098,-3,0,5.0,0.0384571,0.00249688,0.000122559,-3.24857e-05,0.0080239,-0.000111517,-2.40243,0.240058
1099,-3,1,5.0,0.0390079,0.00239668,-0.0154567,0.00142387,0.00802916,0.0232337,-2.40334,0.240194
1100,-3,2,5.0,0.0389838,0.00222852,-0.0311384,0.00289636,0.00806459,0.046646,-2.406,0.240616
1101,-3,3,5.0,0.0390479,0.00192001,-0.046967,0.00435937,0.0081472,0.0703012,-2.41051,0.241267
1102,-3,4,5.0,0.0393035,0.00148106,-0.0630538,0.00583422,0.00826696,0.0943652,-2.41665,0.242197
1103,-3,5,5.0,0.0394399,0.00091878,-0.0794887,0.00730512,0.0084064,0.119072,-2.42423,0.243327
1104,-2,-6,5.0,0.0417603,0.0298408,0.095939,-0.00863073,0.00147334,-0.144003,-2.42349,0.251425
1105,-2,-5,5.0,0.0414718,0.0305281,0.0791834,-0.00718477,0.00130537,-0.118792,-2.41433,0.250209
1106,-2,-4,5.0,0.0412991,0.0310842,0.0628523,-0.00574056,0.00118914,-0.0942938,-2.40654,0.249178
1107,-2,-3,5.0,0.041118,0.031522,0.0468829,-0.00430837,0.00107806,-0.0702983,-2.40023,0.248331
1108,-2,-2,5.0,0.0408801,0.0318542,0.0311494,-0.00289033,0.000986067,-0.0466792,-2.39562,0.247735
1109,-2,-1,5.0,0.0407419,0.0320545,0.0155823,-0.00145797,0.000940425,-0.0232909,-2.39286,0.24736
1110,-2,0,5.0,0.0404011,0.0321353,0.000115929,-3.12158e-05,0.000947491,-0.000103881,-2.39192,0.247235
1111,-2,1,5.0,0.0410049,0.0320318,-0.0153536,0.00138819,0.000949513,0.0231304,-2.39284,0.247364
1112,-2,2,5.0,0.0409337,0.031872,-0.0309132,0.00282292,0.000978587,0.0464215,-2.39557,0.247744
1113,-2,3,5.0,0.0410136,0.031571,-0.046637,0.00424892,0.00105764,0.0699844,-2.40015,0.248343
1114,-2,4,5.0,0.0412739,0.031144,-0.0626137,0.00568144,0.00117121,0.0939516,-2.40644,0.249197
1115,-2,5,5.0,0.04142,0.030591,-0.0789479,0.00711896,0.0013035,0.118522,-2.41422,0.250234
