MACH,CYP,CYR,CNQ,CNAD,CLLP,CMQ,CMAD,CLNR,CLLR,CLNP,CNDEL,CNDER,CMDEL,CMDER,CLLDEL,CLLDER,CHDE,CYDR,CLNDR,CLLDR,CHDR
2.8,0.9892998739701393,1.7234630764731873,0.8246691716266666,0.25929183479466666,-0.43431533872355144,-0.6849296734299836,-0.4485378173873981,-6.986831066268448,0.014659814400000004,1.158756952025447,0.04365316924920364,0.04365316924920364,-0.028342379285890354,-0.028342379285890354,0.025048830611411745,-0.025048830611411745,-2.598911012136476e-05,0.07644345865649425,-0.08943266662385774,0.04253554456828957,-0.0012353831482912977
2.85,0.9832686014127751,1.7054808957226322,0.816360886528,0.25341068168533337,-0.4327991193162238,-0.6622363895892521,-0.4225591101093791,-6.704489039953775,0.014659814400000004,1.1555780426208375,0.04292072603289209,0.04292072603289209,-0.027870580822443657,-0.027870580822443657,0.02464859299290467,-0.02464859299290467,-3.141384205224114e-05,0.076630556123341,-0.08987930547311296,0.042545298604370875,-0.0012771653930449297
2.9,0.9771694936726494,1.6877001942312413,0.8081524286293333,0.24762403165866667,-0.4312525633378669,-0.6410772919904711,-0.39862688324900575,-6.441940597738439,0.014659814400000004,1.152373377951092,0.04221249746230895,0.04221249746230895,-0.0274141785491356,-0.0274141785491356,0.024260402215441408,-0.024260402215441408,-3.636691671548225e-05,0.07675597887509597,-0.0902432857979674,0.04252699347350031,-0.001316799285597308
2.95,0.9710025871047332,1.6701291483554312,0.80004512896,0.2419312192,-0.4296778957514592,-0.6213099269023289,-0.3765303771848737,-6.197378668465842,0.014659814400000004,1.1491534845620144,0.04152734008091564,0.04152734008091564,-0.026972462270839992,-0.026972462270839992,0.023883795219368027,-0.023883795219368027,-4.0893895101884794e-05,0.0768055920346598,-0.0905052215258874,0.042474474747193125,-0.0013536991015947492
3.0,0.9647669324639967,1.6527749488516181,0.7920383220053333,0.23633224430933333,-0.42807635591997956,-0.6028089170660369,-0.35608579514693084,-5.969198228979386,0.014659814400000004,1.1459249465994101,0.04086417446071662,0.04086417446071662,-0.0265447595662645,-0.0265447595662645,0.023518321801057472,-0.023518321801057472,-4.50351033426308e-05,0.07676526072493312,-0.09064572658433911,0.04238158799696458,-0.0013872791166835692
3.05,0.9584655229054097,1.6356447864762187,0.7841320077653334,0.23082511044266668,-0.42644918320640646,-0.5854623666484826,-0.33713180940791876,-5.755967721722468,0.014659814400000004,1.1426953338090835,0.04022198198137308,0.04022198198137308,-0.026130434220832877,-0.026130434220832877,0.023163546202617475,-0.023163546202617475,-4.882633837054857e-05,0.07662085006881669,-0.09064541490078888,0.042242178794329906,-0.0014169536065100864
3.1,0.9520964235839431,1.6187478231856491,0.7763248552106667,0.2254098176,-0.42479860257371876,-0.5691705130996623,-0.319525067474814,-5.556408357138491,0.014659814400000004,1.1394741871368403,0.0395998015500265,0.0395998015500265,-0.025728884538254237,-0.025728884538254237,0.022819048103927913,-0.022819048103927913,-5.229946433390882e-05,0.07635822518921109,-0.09048490040270292,0.042050092710804364,-0.0014421368467206176
3.15,0.945660656454567,1.602089278536326,0.7686168643413335,0.22008503475200003,-0.42312486778489505,-0.5538439296292572,-0.303140192088828,-5.369376372870855,0.014659814400000004,1.1362671051284838,0.038996726341826785,0.038996726341826785,-0.02533954159741906,-0.02533954159741906,0.02248442316626091,-0.02248442316626091,-5.548291881668204e-05,0.07596325120901701,-0.09014479701754745,0.0417991753179032,-0.0014622431129614796
3.2,0.9391592434722511,1.585677328884666,0.7610080351573334,0.21485076189866667,-0.4214302038029139,-0.5394030758257778,-0.28786528741684825,-5.193846278562962,0.014659814400000004,1.133083628729819,0.03841190061555796,0.03841190061555796,-0.024961867501752985,-0.024961867501752985,0.022159283241165628,-0.022159283241165628,-5.84021442347722e-05,0.07542179325113516,-0.0896057186727888,0.04148327218714165,-0.0014766866808789884
3.25,0.9325902497919666,1.5695181793870852,0.7534970366293333,0.209705002496,-0.41971683559075423,-0.5257751519905728,-0.27360148967058284,-5.028894100658209,0.014659814400000004,1.1299293564866515,0.0378445166402436,0.0378445166402436,-0.02459535365387324,-0.02459535365387324,0.021843256331389418,-0.021843256331389418,-6.107995687297543e-05,0.07471971643846614,-0.08884827929589312,0.04109622889003496,-0.0014848818261194623
3.3,0.9259537117686829,1.5536190208000002,0.7460832032426667,0.20464775654400003,-0.4179830457113944,-0.512896346042108,-0.26026072020228064,-4.873689497600001,0.014659814400000004,1.126813829344786,0.037293811755261204,0.037293811755261204,-0.02423951907793069,-0.02423951907793069,0.021535986370161,-0.021535986370161,-6.353686372364534e-05,0.07384288589391066,-0.08785309281432672,0.04063189099809839,-0.0014862428243292182
3.35,0.919252622557371,1.5380593536,0.7387665349973334,0.1996770274986667,-0.4162330303278133,-0.5007077890882642,-0.24776388798130794,-4.727517132800001,0.014659814400000004,1.1237406746500254,0.0367590655769042,0.0367590655769042,-0.02389390880436942,-0.02389390880436942,0.021237132869564385,-0.021237132869564385,-6.579133545062386e-05,0.07283262575482378,-0.0866930341452981,0.04010822119954329,-0.0014825059614540358
